target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,956,10000,96.67,65.33,57.86,73.5,67.89,65.38,68.84,2.56,-5.87,9.7,0.622,0.96,0.86,1.09
A02BA02,360,10000,96.67,62.71,54.91,69.51,70.46,68.91,71.75,7.74,0.85,15.16,0.026,0.89,0.79,0.99
A02BC01,190,10000,96.67,65.88,55.07,76.65,70.39,69.09,71.98,4.5,-6.45,14.48,0.422,0.94,0.79,1.09
A02BC02,1673,8538,100,65.37,61.74,68.81,69.71,68.05,71.34,4.34,0.59,8.26,0.018,0.94,0.88,0.99
A02BC03,170,10000,100,67.1,53.35,78.68,70.97,69.34,72.08,3.87,-7.85,17.66,0.558,0.95,0.75,1.11
A02BC05,764,9130,100,65.22,60.26,69.99,70.81,69.11,72.15,5.59,0.6,10.93,0.018,0.92,0.85,0.99
A03AX13,106,10000,96.67,69.56,54.24,83.21,68.22,66.26,69.1,-1.34,-16,13.72,0.756,1.02,0.8,1.24
A03FA01,754,10000,100,67.57,62.65,71.81,68.04,66.37,69.28,0.47,-4.08,5.23,0.910,0.99,0.92,1.06
A04AA01,316,10000,100,77.4,66.74,87.26,67.17,65.43,68.15,-10.22,-20.24,0.2,0.056,1.15,1,1.31
A04AD01,138,10000,96.67,84.22,74.39,92.76,66.68,66.21,68.8,-17.54,-25.7,-6.86,0.002,1.26,1.1,1.38
A06AB02,362,9519,100,81.32,74.22,87.11,64.44,63.18,65.96,-16.88,-22.78,-9.54,0.002,1.26,1.15,1.35
A06AB06,127,9707,96.67,68.2,54.27,81.13,64.59,63.32,65.9,-3.61,-17.15,10.36,0.492,1.06,0.84,1.27
A06AB08,852,9064,100,75.43,69.83,80.61,64.08,63.07,65.92,-11.35,-16.09,-4.95,0.002,1.18,1.08,1.25
A06AB58,128,7711,96.67,44.45,27.3,71.64,62.86,60.61,64.57,18.41,-8.97,36.53,0.172,0.71,0.43,1.14
A06AC01,138,9681,96.67,66.24,47.15,83.9,64.7,63.27,65.93,-1.54,-19.4,17.59,0.970,1.02,0.73,1.3
A06AD11,791,9104,100,75.36,70.32,80.29,63.77,62.65,65.49,-11.58,-16.57,-6.14,0.002,1.18,1.09,1.26
A06AD65,1160,8934,100,67,61.49,72.78,64.02,62.69,65.52,-2.98,-8.51,3.16,0.356,1.05,0.95,1.13
A06AG10,127,9696,96.67,69.95,53.71,83.64,64.77,63.24,65.95,-5.17,-18.97,11.09,0.468,1.08,0.83,1.29
A06AG11,169,9697,93.33,77.52,65.95,89.06,64.66,63.45,66.17,-12.86,-24.27,-1.01,0.024,1.2,1.02,1.38
A07AA02,526,10000,100,70.77,65.09,76.04,67.71,66.29,68.93,-3.06,-8.27,2.79,0.288,1.05,0.96,1.12
A07DA03,380,10000,100,69.26,62.66,75.71,67.57,65.94,68.76,-1.7,-8.34,5.26,0.554,1.03,0.92,1.12
A10AB05,132,10000,53.33,70.41,41.35,97.46,68.34,66.5,69.17,-2.06,-29.6,26.3,0.704,1.03,0.61,1.44
A10AC01,113,10000,60,66.64,41.29,93.53,67.32,66.44,69.03,0.69,-26.47,26.54,0.910,0.99,0.61,1.39
A10BA02,269,10000,96.67,57.67,44.48,69.79,68.14,66.57,69.3,10.47,-1.84,23.26,0.100,0.85,0.66,1.03
A11CC05,811,10000,96.67,67.89,57.59,81.59,65.26,63.29,66.82,-2.63,-16.06,7.89,0.544,1.04,0.88,1.25
A11GA01,120,10000,100,90.19,78.19,99.42,67.55,66.35,68.84,-22.64,-31.86,-10.91,0.006,1.34,1.16,1.47
A12BA01,323,10000,100,74.91,66.92,83.74,66.7,65.81,68.48,-8.21,-16.85,0.45,0.072,1.12,0.99,1.25
A12BA02,109,10000,90,78.84,58.09,96.36,67.44,66.09,68.71,-11.41,-28.77,9.51,0.264,1.17,0.86,1.43
A12CC30,157,10000,100,70.19,58.65,80,67.68,66.31,68.91,-2.52,-12.52,9.18,0.586,1.04,0.86,1.19
B01AA03,367,3020,93.33,66.84,60.23,73.55,70,67.47,72.28,3.17,-3.99,9.92,0.364,0.95,0.86,1.06
B01AB04,634,3185,100,65.49,59.66,70.99,70.21,67.66,72.4,4.73,-1.47,11.22,0.118,0.93,0.84,1.02
B01AB05,466,3216,100,68.47,62.13,74.43,70.63,68.12,72.88,2.16,-4.27,8.45,0.472,0.97,0.88,1.06
B01AC04,496,3190,100,67.48,60.06,74.9,71.17,68.53,73.33,3.69,-3.77,11.13,0.340,0.95,0.85,1.05
B01AC06,1145,1924,100,64.21,60.87,67.75,65.19,61.86,68.57,0.98,-4.06,6.07,0.718,0.98,0.91,1.07
B01AC07,179,3240,100,71.48,58.86,80.9,70.55,68.26,73.01,-0.92,-10.85,12.34,0.984,1.01,0.83,1.15
B01AC30,166,3258,96.67,74.38,63.6,84.04,70.54,67.72,72.6,-3.84,-14.26,7.17,0.410,1.05,0.9,1.21
B01AE07,105,2570,90,86.17,63.52,99.05,67.36,63.56,70.73,-18.81,-33.58,3.38,0.112,1.28,0.95,1.51
