target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,725,9461,96.67,68.8,56.89,81.4,66.53,63.62,67.89,-2.26,-16.49,9.63,0.648,1.03,0.86,1.25
A02BA02,319,7694,100,60.55,52.26,69.55,69.31,67.41,71.36,8.76,-0.35,17.45,0.072,0.87,0.75,1.01
A02BC01,166,7822,96.67,66.78,52.92,82.95,69.32,67.51,71.47,2.55,-14.38,16.7,0.852,0.96,0.76,1.21
A02BC02,1307,6671,100,64.16,59.46,69.02,69.01,66.75,71.04,4.85,-0.65,9.23,0.066,0.93,0.86,1.01
A02BC03,148,7650,76.67,65.03,47.96,80.58,69.81,67.74,71.75,4.78,-11.01,21.77,0.588,0.93,0.69,1.16
A02BC05,651,6967,100,66.39,59.5,73.88,70.25,67.8,72.16,3.86,-3.59,10.82,0.346,0.95,0.85,1.05
A03AX13,93,10000,96.67,71.15,52.36,89.76,66.3,65.03,68.4,-4.85,-23.79,14.32,0.570,1.07,0.78,1.36
A03FA01,587,8927,100,62.13,55.49,68.67,67.06,65.25,69.01,4.93,-1.81,11.52,0.134,0.93,0.83,1.03
A04AA01,205,9936,100,76.4,59.84,93.44,66.02,64.11,67.51,-10.38,-27.77,5.34,0.208,1.16,0.92,1.42
A04AD01,109,10000,93.33,83.32,73.05,92.96,66.68,64.9,68.11,-16.65,-26.58,-5.79,0.012,1.25,1.09,1.4
A06AB02,269,7557,100,80.65,69.2,92.05,63.58,62.11,65.61,-17.06,-28.48,-4.91,0.002,1.27,1.08,1.45
A06AB06,105,7668,86.67,64,45.46,82.53,63.5,61.81,65.43,-0.5,-19.24,19.12,0.832,1.01,0.7,1.3
A06AB08,623,7267,100,76.99,66.73,86.92,63.39,61.75,65.42,-13.6,-23.48,-3.34,0.014,1.21,1.05,1.37
A06AB58,107,5835,96.67,39.17,22.79,66.94,61.47,58.57,64.42,22.3,-6.79,38.78,0.114,0.64,0.37,1.11
A06AC01,110,7654,93.33,74.33,45.28,98.18,63.55,61.83,65.34,-10.78,-34.87,18.25,0.572,1.17,0.72,1.55
A06AD11,594,7290,100,75.79,68.43,82.85,62.91,61.23,65.05,-12.88,-20.63,-5.32,0.002,1.2,1.08,1.33
A06AD65,850,7061,100,65.72,57.07,75.01,63.12,61.16,65.06,-2.6,-11.8,5.92,0.554,1.04,0.91,1.19
