target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A02BA02,360,45,83.33,56.16,49.05,62.51,72.65,34.36,99.33,16.49,-22.5,42.79,0.410,0.77,0.56,1.64
A02BC01,190,47,96.67,61.79,49.83,70.92,75.39,34.07,99.09,13.59,-27.76,39.31,0.444,0.82,0.59,1.74
A02BC02,1673,27,56.67,61.77,58.01,65.45,55.59,13.08,99.53,-6.18,-47.89,37.93,0.946,1.11,0.62,4.65
A02BC03,170,49,76.67,58.55,45.19,74.29,64.48,16.77,99.99,5.93,-43.12,44.62,0.912,0.91,0.54,3.41
A02BC05,764,38,86.67,58.89,53.25,63.38,73.09,27.38,99.83,14.19,-32.16,40.89,0.716,0.81,0.58,2.14
A03AX13,106,844,96.67,65.15,47.48,83.61,64.53,60.21,68.51,-0.61,-17.78,16.77,0.880,1.01,0.75,1.28
A03FA01,754,132,90,67.43,63.46,71.37,54.53,37.17,76.7,-12.9,-30.26,9.82,0.260,1.24,0.87,1.8
A07AA02,526,537,100,68.84,62.96,74.28,64.85,59.48,71.16,-3.99,-11.65,4.26,0.382,1.06,0.94,1.19
A07DA03,380,638,100,69.32,62.55,75.38,67.58,62.33,72.1,-1.74,-10.04,5.96,0.652,1.03,0.91,1.15
A10AB05,132,596,100,73.17,57.1,90.46,57.51,51.2,63.55,-15.66,-33.48,0.68,0.074,1.27,0.99,1.62
A10AC01,113,581,100,60.38,39.17,79.04,56.91,50.25,63.09,-3.47,-21.15,18.45,0.680,1.06,0.69,1.38
A10BA02,269,149,93.33,57.29,44.36,69.86,74.47,48.45,90.31,17.18,-11.38,36.32,0.234,0.77,0.58,1.21
A11CC05,811,101,76.67,67.38,57.19,80.29,82.21,60.94,95.71,14.84,-11.29,31.06,0.212,0.82,0.65,1.16
A11GA01,120,780,90,90.36,73.21,99.91,71.05,63.19,78.81,-19.31,-31.51,-1.16,0.038,1.27,1.02,1.49
A12BA01,323,235,100,78.93,72.6,85.12,75.19,67.89,83.83,-3.74,-13.23,7.23,0.618,1.05,0.91,1.19
A12BA02,109,256,100,81.58,65.26,95.16,75.43,67.8,83.64,-6.15,-21.05,12.16,0.502,1.08,0.84,1.3
A12CC30,157,436,100,76.63,67.17,86.05,79,73.67,84.64,2.37,-7.54,11.79,0.626,0.97,0.85,1.1
B03AA01,152,2380,93.33,82.18,60.08,92.42,67.27,63.97,70.1,-14.91,-25.52,7.1,0.116,1.22,0.89,1.39
B03AA07,601,2329,100,73.42,67.65,79.07,68.13,65.37,71.3,-5.29,-11.26,1.57,0.114,1.08,0.98,1.17
B03BA01,478,784,100,76.17,68.51,83.34,78.26,73.36,82.56,2.1,-6.4,9.98,0.580,0.97,0.88,1.08
B03BA02,392,376,100,69.4,63.63,74.1,77.74,72.94,82.46,8.35,2.11,15.14,0.018,0.89,0.81,0.97
B03BA03,958,701,100,71.48,66.29,76.86,75.47,70.09,80.71,3.99,-3.14,10.73,0.286,0.95,0.86,1.04
B03BB01,590,727,100,75.37,70.46,80.62,77.74,73.02,82.78,2.37,-3.81,9.45,0.430,0.97,0.88,1.05
C01AA05,126,1373,86.67,74.4,58.43,88.14,66.07,61.9,69.11,-8.33,-23.45,8.33,0.286,1.13,0.87,1.36
C01DA02,949,329,100,65.28,60.97,69.28,79.12,70.41,84.98,13.84,3.76,21,<0.001,0.83,0.75,0.95
C01DA14,266,380,90,75.28,66.49,82.94,73.56,66.11,79.94,-1.72,-12.05,8.41,0.730,1.02,0.89,1.18
