target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A02BA02,360,45,89.66,55.89,48.66,62.34,74.39,41.11,97.7,18.5,-15.77,41.12,0.310,0.75,0.56,1.38
A02BC01,190,47,100,61.74,52.1,70.43,75.12,40.18,99.12,13.38,-23.96,38.86,0.420,0.82,0.6,1.58
A02BC02,1673,27,55.17,61.74,57.98,65.43,55.51,14.05,99.5,-6.23,-47,37.83,0.958,1.11,0.62,4.43
A02BC03,170,49,86.21,57.7,45.18,66.39,68.06,27.26,99.56,10.36,-31.58,42.72,0.604,0.85,0.55,2.2
A02BC05,764,38,86.21,58.8,53.12,63.28,76.04,31.8,99.8,17.25,-27.13,40.9,0.588,0.77,0.58,1.83
A03AX13,106,844,100,65.49,48.75,83.89,64.5,60.08,68.47,-0.99,-18.35,16.71,0.864,1.02,0.74,1.28
A03FA01,754,132,89.66,67.44,63.46,71.38,53.95,37.8,74.35,-13.49,-29.79,7.7,0.252,1.25,0.89,1.78
A07AA02,526,537,100,69.04,63.25,74.45,64.03,58.8,70.45,-5.01,-12.37,3.28,0.274,1.08,0.95,1.2
A07DA03,380,638,100,70.01,62.79,76.07,67.51,62.24,72.07,-2.5,-10.86,5.02,0.566,1.04,0.93,1.17
A10AB05,132,596,100,75.52,59.98,90.75,56.91,50.38,63.08,-18.62,-34.45,-2.88,0.018,1.33,1.05,1.64
A10AC01,113,581,100,64.98,46.25,80.11,56.42,49.54,62.87,-8.56,-24.6,11.49,0.352,1.15,0.81,1.45
A10BA02,269,149,96.55,56.85,44.69,68.68,75.18,50.59,90.85,18.32,-9.09,37.37,0.194,0.76,0.57,1.18
A11CC05,811,101,75.86,67.47,57.07,80.39,82.45,63.05,95.73,14.98,-9.96,30.61,0.206,0.82,0.66,1.14
A11GA01,120,780,89.66,90.6,73.66,99.89,70.99,62.68,78.79,-19.61,-31.69,-1.51,0.028,1.28,1.02,1.48
A12BA01,323,235,100,79.06,72.78,85.19,75.03,67.84,83.58,-4.04,-13.05,6.97,0.552,1.05,0.92,1.19
A12BA02,109,256,100,81.94,67.43,94.44,75.18,67.18,83.27,-6.76,-21.61,11.8,0.444,1.09,0.85,1.31
A12CC30,157,436,100,76.47,67.2,85.55,79.14,73.92,84.72,2.67,-6.93,11.89,0.568,0.97,0.85,1.09
B03AA01,152,2380,93.1,83.03,61.51,92.61,67.26,63.97,70.1,-15.77,-26.1,5.49,0.102,1.23,0.92,1.4
B03AA07,601,2329,100,73.68,67.69,79.55,68.1,65.32,71.28,-5.58,-11.73,1.3,0.096,1.08,0.98,1.18
B03BA01,478,784,100,75.52,67.85,82.58,78.74,73.98,82.97,3.21,-4.81,11.33,0.446,0.96,0.86,1.06
B03BA02,392,376,100,68.81,63.15,73.21,78.1,73.43,82.76,9.29,3.21,15.9,<0.001,0.88,0.8,0.96
B03BA03,958,701,100,71.34,66.17,76.67,75.86,70.51,80.96,4.52,-2.32,11.41,0.214,0.94,0.85,1.03
B03BB01,590,727,100,75.36,70.51,80.6,77.98,73.31,82.97,2.62,-3.47,9.89,0.386,0.97,0.88,1.05
C01AA05,126,1373,93.1,73.45,58.23,87.74,65.94,61.78,69.02,-7.51,-22.57,8.34,0.314,1.11,0.88,1.35
