target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,800,9847,96.67,70.12,61.07,79.34,75.04,72.04,76.25,4.92,-5.4,13.79,0.356,0.93,0.82,1.07
A02BA02,275,8360,93.33,68.57,60.27,75.64,76.85,75.37,78.5,8.28,1.51,16.38,0.022,0.89,0.79,0.98
A02BC01,151,8485,96.67,73.57,63.19,82.62,76.74,75.27,78.32,3.17,-6.15,14.02,0.580,0.96,0.82,1.08
A02BC02,1325,7010,100,74.95,71.17,78.56,76.32,74.42,78.14,1.37,-2.36,5.48,0.464,0.98,0.93,1.03
A02BC03,124,8465,96.67,74.26,60.7,88.24,77.37,75.92,78.7,3.11,-11.08,17.09,0.638,0.96,0.78,1.14
A02BC05,587,7544,100,71,65.28,76.26,77.75,75.92,79.09,6.75,1.05,12.72,0.024,0.91,0.84,0.99
A03AX13,95,10000,90,75.26,58.3,91.64,75.04,73.42,76.17,-0.22,-16.88,16.45,0.876,1,0.78,1.23
A03FA01,620,9290,100,74.8,69.53,80.28,75.11,73.74,76.74,0.31,-5.14,5.54,0.886,1,0.93,1.07
A04AA01,262,10000,100,83.72,73.03,94.32,74.08,72.36,75.49,-9.65,-20,0.97,0.094,1.13,0.99,1.27
A04AD01,102,10000,96.67,85.49,74.22,95.57,74.9,73.3,76.09,-10.59,-20.92,0.57,0.058,1.14,0.99,1.28
A06AB02,306,7628,100,84.73,76.72,91.97,72.57,71.29,74.49,-12.16,-19.33,-3.89,0.002,1.17,1.05,1.27
A06AB06,105,7757,90,76.68,62.49,89.14,72.45,70.99,74.17,-4.23,-16.87,9.33,0.386,1.06,0.87,1.23
A06AB08,745,7217,100,82.58,77.37,87.62,72.02,70.96,74.12,-10.56,-15.41,-4.48,0.006,1.15,1.06,1.21
A06AB58,97,6179,100,57.79,30.1,90.55,70.28,67.79,72.16,12.49,-20.44,39.91,0.424,0.82,0.43,1.29
A06AC01,117,7741,96.67,75.49,55.02,92.6,72.53,70.95,74.24,-2.96,-20.39,17,0.874,1.04,0.77,1.28
A06AD11,684,7280,100,81.63,77.4,86.17,71.62,70.35,73.53,-10.01,-14.51,-5.2,0.002,1.14,1.07,1.2
A06AD65,967,7117,100,70.5,64.08,77,72.01,70.4,73.74,1.51,-4.91,8.3,0.646,0.98,0.88,1.07
A06AG10,107,7752,96.67,72.39,58.24,88.07,72.71,71.08,74.42,0.32,-15.28,14.56,>0.999,1,0.8,1.21
A06AG11,151,7754,93.33,88.72,77.75,99.23,72.44,71.12,74.48,-16.28,-26.48,-4.64,0.022,1.22,1.06,1.36
A07AA02,429,10000,100,75.42,69.44,81.77,74.73,73.33,76.17,-0.69,-6.69,6.39,0.800,1.01,0.92,1.09
A07DA03,335,10000,100,77.21,70.55,84.12,74.5,73.18,76.14,-2.7,-9.44,3.68,0.366,1.04,0.95,1.13
A10AB05,112,10000,36.67,77.23,44.68,97.76,74.83,73.7,76.42,-2.4,-22.27,30.2,0.758,1.03,0.6,1.3
A10AC01,92,10000,70,71.02,41.08,98.38,74.69,73.19,76.37,3.67,-23.73,34.41,0.974,0.95,0.55,1.32
A10BA02,198,9853,96.67,68.49,49.45,83.78,75.06,73.62,76.39,6.57,-8.8,26.06,0.386,0.91,0.65,1.12
A11CC05,632,8461,96.67,76.84,63.59,90.35,71.72,69.05,73.54,-5.12,-19.27,7.51,0.436,1.07,0.9,1.27
A11GA01,113,9683,96.67,89.25,74.28,99.29,74.57,73.4,76.17,-14.68,-24.53,1.03,0.058,1.2,0.99,1.33
A12BA01,291,10000,100,77.9,67.36,86.58,74.29,72.98,76,-3.61,-12.13,7.25,0.420,1.05,0.9,1.16
A12BA02,93,10000,100,68.98,47.35,89.03,74.82,73.3,76.15,5.84,-14.7,27.39,0.648,0.92,0.63,1.2
A12CC30,124,10000,100,74.76,60.88,86.6,74.66,73.31,76.14,-0.11,-11.81,13.69,0.962,1,0.82,1.16
B01AA03,319,2554,90,74.17,66.74,80.6,77.4,74.79,79.83,3.23,-3.87,11,0.388,0.96,0.86,1.05
B01AB04,516,2725,100,75.1,68.28,80.64,77.58,74.89,79.82,2.48,-3.45,9.73,0.444,0.97,0.88,1.05
B01AB05,381,2747,100,73.31,67.47,79.98,78.18,75.79,80.65,4.87,-2.63,11.03,0.166,0.94,0.86,1.03
B01AC04,423,2722,100,75.22,66.56,82.66,78.36,75.87,80.73,3.14,-5.02,11.87,0.504,0.96,0.85,1.07
B01AC06,952,1542,100,73.32,69.46,76.81,73.78,70.19,77.18,0.47,-4.54,5.04,0.928,0.99,0.93,1.06
B01AC07,160,2756,90,76.27,64.68,86.18,77.72,75.69,80.27,1.45,-8.32,13.33,0.802,0.98,0.83,1.11
B01AC30,146,2776,93.33,80.73,70.62,89.14,77.74,75.1,79.82,-2.99,-12.25,7.46,0.478,1.04,0.9,1.16
B01AE07,96,2187,86.67,88.44,66.1,99.38,73.8,69.78,77.44,-14.64,-26.95,7.47,0.150,1.2,0.9,1.38
B01AF01,217,2326,96.67,72.1,56.3,87.5,74.81,68.82,77.2,2.71,-14.68,18.53,0.858,0.96,0.75,1.2
B01AF02,462,1934,96.67,64.09,48.71,88.82,72.31,65.34,76.93,8.22,-18.28,24.95,0.566,0.89,0.67,1.27
B03AA01,137,5737,96.67,91.5,80.79,99.98,74.56,72.63,76.24,-16.94,-26.07,-6.05,0.018,1.23,1.08,1.35
B03AA07,551,5603,100,79.82,73.48,85.32,74.59,72.91,76.55,-5.22,-11,1.27,0.126,1.07,0.98,1.15
B03BA01,385,4477,93.33,77.41,67.82,85.81,75.75,73.66,77.32,-1.66,-10.25,7.84,0.706,1.02,0.9,1.14
B03BA02,329,2233,100,74.17,68.64,79.32,75.26,73.21,77.07,1.09,-4.44,6.78,0.808,0.99,0.91,1.06
B03BA03,811,4133,100,75.26,69.58,80.63,75.18,72.89,76.86,-0.08,-5.86,5.59,0.936,1,0.93,1.08
B03BB01,501,4325,100,77.72,71.08,83,75.24,73.28,77.01,-2.48,-8.19,4.27,0.430,1.03,0.94,1.11
C01AA05,121,9288,90,76.67,61.84,92.06,70.31,68.28,71.48,-6.36,-21.84,8.08,0.414,1.09,0.89,1.31
C01DA02,815,7376,100,69.28,64.73,73.86,69.94,68.56,71.74,0.67,-3.9,5.83,0.816,0.99,0.92,1.06
C01DA14,230,8085,96.67,72.05,62.42,82.45,69.51,68.21,71.12,-2.53,-13.08,6.53,0.658,1.04,0.91,1.19
C03AA03,89,9473,100,70.18,53.96,82.39,71.29,69.83,72.5,1.11,-11.33,16.66,0.848,0.98,0.76,1.16
C03AB01,112,9342,90,61.84,49.12,75.12,71.47,69.97,72.69,9.63,-4.08,22.46,0.176,0.87,0.69,1.06
C03CA01,1436,5765,100,69.66,66.48,73.49,66.85,65.12,68.89,-2.81,-6.62,1.04,0.182,1.04,0.98,1.1
C03CA02,761,6745,100,76.87,71.4,81.36,68.42,67.38,70.52,-8.45,-12.74,-2.53,0.002,1.12,1.04,1.19
C03DA01,250,9173,96.67,91.17,82.13,96.98,69.99,68.94,71.64,-21.19,-26.85,-12.22,0.002,1.3,1.18,1.39
C05AA04,334,9198,100,71.41,63.51,78.86,70.96,69.67,72.29,-0.45,-7.63,7.58,0.922,1.01,0.89,1.11
C05BA01,147,9581,93.33,76.14,62.28,86.78,70.6,69.25,71.87,-5.54,-16.08,8.39,0.316,1.08,0.88,1.23
C07AA05,193,8191,100,62.65,51.46,72.78,71.78,70.25,73.08,9.13,-1.09,19.95,0.080,0.87,0.72,1.02
