target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,477,6232,96.55,52.37,39.6,66.01,50.13,47.51,51.83,-2.24,-16.85,9.96,0.728,1.04,0.8,1.34
A02BA02,206,5040,100,44.79,35.49,55.39,53.53,51.29,55.57,8.73,-2.03,18.18,0.132,0.84,0.66,1.04
A02BC01,106,5145,79.31,46.06,31.66,62.51,54.05,52.04,56.2,7.99,-8.68,22.53,0.280,0.85,0.58,1.16
A02BC02,892,4224,100,43.1,37.83,48.28,52.05,49.91,54.66,8.95,4.18,14.34,<0.001,0.83,0.73,0.92
A02BC03,100,5154,82.76,48.56,31.01,69.16,53.83,51.67,55.88,5.27,-15.23,22.7,0.618,0.9,0.58,1.28
A02BC05,423,4479,100,48.44,40.07,56.21,53.16,50.84,55.28,4.72,-3.37,13.11,0.244,0.91,0.76,1.06
A03AX13,52,6971,72.41,49.17,19.54,83.24,50.16,48.37,51.85,0.99,-33.13,30.71,0.852,0.98,0.38,1.67
A03FA01,371,5856,100,53.4,46.57,61.19,49.68,47.99,52.09,-3.72,-11.24,3.83,0.326,1.07,0.93,1.23
A04AA01,188,6311,93.1,62.64,50.95,73.76,47.84,46.44,50.05,-14.8,-25.58,-2.54,0.018,1.31,1.05,1.54
A04AD01,88,6727,82.76,74.24,54.57,89.61,49.19,47.53,51.06,-25.04,-40.95,-5.94,0.018,1.51,1.12,1.84
A06AB02,152,5018,93.1,66.32,50.36,80.44,46.52,44.88,49.03,-19.8,-33.62,-3.74,0.022,1.43,1.08,1.72
A06AB06,64,5113,89.66,56.01,30.36,78.84,47.1,45.32,49.23,-8.91,-31.44,17.64,0.510,1.19,0.63,1.67
A06AB08,370,4817,100,63.05,55.06,71.91,46.26,45.09,49.31,-16.79,-24.84,-7.76,0.002,1.36,1.16,1.53
A06AB58,83,4148,96.55,21.81,7.79,47.59,46.53,43.38,49.39,24.72,-1.48,38.64,0.056,0.47,0.17,1.03
A06AC01,72,5092,100,47.48,19.5,77.86,47.4,45.52,49.41,-0.08,-30.65,28.95,0.992,1,0.4,1.66
A06AD11,351,4816,100,60.03,51.2,70.31,45.82,44.21,48.51,-14.21,-23.84,-5.15,0.002,1.31,1.11,1.51
A06AD65,574,4681,100,52,43.82,61.44,46.18,44.48,48.66,-5.82,-15.23,3.35,0.198,1.13,0.93,1.33
A06AG10,63,5049,89.66,63.41,38.76,90.17,47.09,45.14,49.07,-16.32,-42.41,7.46,0.184,1.35,0.84,1.9
A06AG11,74,5109,100,56.72,38.02,78.97,47.05,45.32,49.41,-9.66,-31.82,9.35,0.290,1.21,0.8,1.68
A07AA02,256,6500,100,52.74,44.34,62.42,49.3,47.73,51.49,-3.44,-12.44,5.3,0.494,1.07,0.89,1.25
A07DA03,172,6639,100,46.93,37.01,58.34,49.75,48.15,51.75,2.82,-8.43,12.65,0.736,0.94,0.75,1.17
A10AB05,69,6709,55.17,48,15.91,98.58,49.87,48.28,51.6,1.87,-48.55,34.88,0.962,0.96,0.31,1.97
A10AC01,64,6622,55.17,62.38,19.99,94.04,49.84,48.22,51.95,-12.54,-44.21,29.72,0.526,1.25,0.4,1.9
A10BA02,172,6093,96.55,30.77,19.26,44.54,50.43,48.66,52.32,19.65,6.52,30.33,0.012,0.61,0.39,0.87
A11CC05,435,5007,96.55,50.78,34.87,72.45,48.32,45.74,51.31,-2.46,-23.62,14.62,0.774,1.05,0.71,1.49
A11GA01,26,6170,58.62,96.46,61.79,100,49.67,47.87,51.5,-46.79,-51.73,-12.7,0.024,1.94,1.26,2.07
A12BA01,127,6642,93.1,63.32,49.88,77.67,49.21,47.66,51.27,-14.11,-27.53,-0.23,0.038,1.29,1,1.55
A12BA02,43,6872,93.1,65.81,36.26,97.14,49.45,47.89,51.34,-16.35,-46.91,13.17,0.252,1.33,0.73,1.94
A12CC30,72,6840,100,48.27,26.95,69.1,50.17,48.53,51.92,1.9,-18.6,23.07,0.926,0.96,0.54,1.37
B01AA03,159,1398,96.55,46.83,34.93,60.35,50.42,46.16,54.58,3.59,-10.02,15.73,0.602,0.93,0.7,1.2
B01AB04,349,1425,100,38.57,30.42,47.02,51.26,47.05,55.45,12.69,4.15,21.64,0.014,0.75,0.59,0.91
B01AB05,234,1449,100,54.06,44.95,63.03,51.5,47.59,55.91,-2.56,-11.7,7.38,0.672,1.05,0.86,1.23
B01AC04,232,1441,93.1,51.45,40.63,64.54,52.37,48.47,56.59,0.91,-12.66,12.91,0.912,0.98,0.77,1.25
B01AC06,581,998,100,44.3,38.94,49.84,45.96,40.83,51.03,1.66,-6.08,8.65,0.656,0.96,0.83,1.15
B01AC07,78,1304,86.21,37.43,14.66,75.47,51.16,47.16,55.52,13.73,-23.47,38.43,0.388,0.73,0.28,1.47
B01AC30,80,1461,96.55,52.8,31.09,75.45,51.46,47.64,55.9,-1.34,-23.59,21.1,0.984,1.03,0.6,1.46
B01AE07,47,1212,82.76,51.58,8.93,93.1,50.63,43.23,56.07,-0.95,-45.66,39.81,0.964,1.02,0.18,1.98
B01AF01,118,1195,100,30.09,17.61,46.64,50.57,43.44,56.28,20.47,2.77,34.43,0.028,0.6,0.34,0.94
B01AF02,182,1087,100,24.2,13.74,38.71,47.82,37.99,54.94,23.62,5.37,35.72,0.016,0.51,0.29,0.88
B03AA01,57,3075,100,77.95,38.84,94.15,48.4,45.54,51.2,-29.55,-46.38,8.57,0.106,1.61,0.81,1.98
B03AA07,193,3268,100,52.12,41,64.59,47.2,44.78,50.04,-4.92,-17.51,7.12,0.450,1.1,0.85,1.37
B03BA01,254,2407,96.55,45.88,29.01,61.05,49.64,46.77,52.63,3.76,-11.94,20.24,0.646,0.92,0.59,1.25
B03BA02,176,1257,100,42.37,33.99,51.59,48.93,46.15,52.16,6.56,-3.32,15.34,0.224,0.87,0.7,1.07
B03BA03,477,2258,100,48.68,39.71,56.66,49.5,46.41,52.38,0.83,-7.16,9.42,0.898,0.98,0.81,1.15
B03BB01,260,2346,100,52.23,42.72,62.34,49.47,46.75,52.56,-2.75,-13.02,6.92,0.588,1.06,0.86,1.26
C01AA05,47,5378,65.52,22.91,4.97,76.84,42.06,40.23,46.56,19.15,-32.57,39.05,0.424,0.54,0.11,1.74
C01DA02,420,4614,100,42.34,34.21,50.83,42.27,40.18,44.19,-0.07,-8.53,8.65,0.998,1,0.8,1.21
C01DA14,107,4969,93.1,46.79,27.09,66.53,42.11,40.22,44.13,-4.68,-24.25,14.9,0.602,1.11,0.65,1.57
C03AA03,46,5563,93.1,40.46,17.09,66.94,43.26,41.12,44.96,2.81,-23.36,26.44,0.752,0.94,0.39,1.54
C03AB01,67,5538,93.1,28.38,14.37,46.74,43.46,41.56,45.18,15.08,-3.84,29.86,0.102,0.65,0.33,1.09
C03CA01,740,3936,100,46.32,41.78,51.29,37.21,35.56,39.89,-9.11,-14.13,-3.64,0.006,1.24,1.09,1.38
