target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,532,5930,96.67,59.93,49.36,71.14,59.89,56.26,61.63,-0.04,-11.8,10.43,0.876,1,0.82,1.2
A02BA02,208,4834,100,47.23,37.56,58.01,63.68,61.42,65.69,16.45,4.35,26.08,<0.001,0.74,0.59,0.93
A02BC01,107,4899,96.67,57.61,40.22,73.31,63.45,61.38,65.37,5.84,-10.85,23.16,0.486,0.91,0.64,1.17
A02BC02,933,4444,100,56.38,50.71,61.61,63.4,60.75,65.55,7.01,1.56,12.43,0.022,0.89,0.8,0.98
A02BC03,95,4877,96.67,51.85,31.01,68.84,63.42,61.17,65.49,11.58,-5.71,32.41,0.152,0.82,0.49,1.09
A02BC05,425,4639,100,52.74,46.16,60.3,63.67,61.12,65.69,10.93,2.86,17.94,0.006,0.83,0.72,0.95
A03AX13,45,6708,93.33,58.12,30.1,86.68,59.88,58.03,61.67,1.76,-26.45,29.92,0.878,0.97,0.5,1.45
A03FA01,312,6013,100,60.06,52.33,67.89,59.48,57.59,61.61,-0.58,-8.04,7.37,0.986,1.01,0.88,1.13
A04AA01,133,6316,100,76.69,59.12,93.75,58.57,56.67,60.52,-18.12,-35.39,-0.84,0.048,1.31,1.01,1.6
A04AD01,76,6278,93.33,73.93,54.49,95.88,58.48,56.61,60.5,-15.44,-37.4,4.02,0.096,1.26,0.93,1.64
A06AB02,167,4756,93.33,83.01,71.68,92.54,55.73,53.83,58.11,-27.28,-37.13,-15.75,0.002,1.49,1.28,1.66
A06AB06,62,4831,90,53.9,31.07,77.59,55.63,53.39,57.64,1.74,-21.73,23.61,0.916,0.97,0.57,1.39
A06AB08,386,4619,100,68.8,60.77,78.41,55.9,54,58.29,-12.91,-22.38,-4.02,0.006,1.23,1.07,1.4
A06AB58,73,3867,93.33,38.08,9.81,86.26,53.87,50.26,56.76,15.79,-31.99,43.3,0.396,0.71,0.18,1.6
A06AC01,74,4742,96.67,64.3,41.98,88.66,55.24,53.06,57.31,-9.06,-33.05,13.72,0.414,1.16,0.75,1.6
A06AD11,395,4751,100,72.77,65.25,79.65,55.87,53.95,58.13,-16.9,-23.53,-9.36,0.002,1.3,1.17,1.43
A06AD65,572,4487,100,55.71,47.17,64.53,55.23,53.23,57.47,-0.49,-9.72,8.12,0.990,1.01,0.85,1.18
A06AG10,44,4768,63.33,58.95,21.38,87.64,55.5,53.4,57.58,-3.45,-32.28,34.07,0.992,1.06,0.39,1.59
A06AG11,59,4830,83.33,77.87,53.61,98.3,55.75,53.57,57.91,-22.12,-42.63,1.44,0.058,1.4,0.97,1.76
A07AA02,199,6455,100,66.91,56.58,76.01,59.26,57.52,61.2,-7.66,-16.68,2.87,0.110,1.13,0.95,1.28
A07DA03,179,6418,100,59.37,49.42,71.54,59.53,57.61,61.25,0.16,-11.88,9.98,0.982,1,0.83,1.2
A10AB05,47,6609,36.67,44.86,2.2,100,60.01,58.13,61.81,15.15,-40.85,57.94,0.960,0.75,0.04,1.69
A10AC01,42,6571,36.67,19.17,0.65,99.5,59.97,57.81,61.7,40.8,-39.49,59.12,0.318,0.32,0.01,1.66
A10BA02,133,6155,100,58.83,41.5,73.7,60.42,58.32,62.22,1.59,-13.54,18.42,0.732,0.97,0.69,1.22
A11CC05,453,4759,96.67,53.6,37.9,76.58,57.26,54.12,59.52,3.66,-18.13,18.74,0.748,0.94,0.67,1.33
A11GA01,51,5896,83.33,95.84,80.91,100,59.66,57.98,61.67,-36.19,-41.49,-20.31,0.006,1.61,1.33,1.71
A12BA01,116,6490,96.67,71.24,54.09,87.94,58.92,57.08,60.79,-12.32,-29.81,4.33,0.132,1.21,0.93,1.51
A12BA02,35,6546,83.33,55.93,13.91,99.98,59.29,57.26,61.04,3.35,-40.51,45.49,0.958,0.94,0.24,1.68
A12CC30,61,6400,96.67,58.92,33,81.07,59.08,57.12,60.91,0.16,-22.19,26.53,0.878,1,0.55,1.38
B01AA03,216,1689,90,67.19,57.19,75.26,65.79,62.15,68.84,-1.41,-9.68,8.66,0.782,1.02,0.87,1.15
B01AB04,380,1746,100,54.87,45.91,64.06,65.56,62.13,68.9,10.7,0.9,19.29,0.030,0.84,0.7,0.99
B01AB05,241,1747,100,62.61,53.54,70.76,66.08,62.86,69.67,3.47,-5.44,13.53,0.454,0.95,0.8,1.08
B01AC04,292,1728,93.33,61.56,51.14,71.31,66.88,63.85,70.18,5.32,-5.1,16.08,0.302,0.92,0.76,1.08
B01AC06,751,1141,100,57.69,53.5,62.51,60.45,56.69,64.8,2.75,-3.12,8.51,0.328,0.95,0.87,1.05
B01AC07,105,1734,93.33,69.78,55.52,83.51,66.46,63.21,69.81,-3.31,-17.34,12.69,0.610,1.05,0.81,1.27
B01AC30,99,1746,100,60.15,42.28,78.06,66.59,62.61,69.43,6.43,-11.75,24.61,0.516,0.9,0.63,1.18
B01AE07,56,1261,70,74.67,29.3,99.93,59.58,54.34,64.93,-15.09,-42.04,31.49,0.526,1.25,0.48,1.74
B01AF01,141,1367,100,59.65,36.32,87.79,61.79,54.43,66.34,2.14,-27.93,24.31,0.990,0.97,0.61,1.47
B01AF02,267,1247,96.67,40.24,26.97,74.45,60.37,50.88,65.89,20.14,-13.39,33.35,0.174,0.67,0.45,1.23
B03AA01,67,3954,83.33,64.66,21.93,97.52,61.46,59.07,63.53,-3.2,-36.4,40.4,0.604,1.05,0.35,1.59
B03AA07,273,3915,100,67.25,57.38,77.89,61.77,59.72,64.43,-5.48,-16,4.55,0.276,1.09,0.93,1.26
B03BA01,304,2945,90,69.56,56.26,78.66,62.83,60.1,65.15,-6.73,-16.46,6.63,0.296,1.11,0.89,1.27
B03BA02,238,1541,100,58.41,51.86,66.04,63,60.19,65.69,4.59,-3.23,10.89,0.254,0.93,0.83,1.05
B03BA03,556,2797,100,66.34,58.36,73.83,62.13,59.62,64.68,-4.21,-12.39,3.91,0.312,1.07,0.94,1.2
B03BB01,279,2897,100,69.28,61.99,78.25,62.4,60.03,65.15,-6.89,-15.56,1.17,0.092,1.11,0.98,1.25
C01AA05,48,6266,86.67,81.95,53.66,99.58,55.25,53.37,57.31,-26.7,-44.87,1.91,0.072,1.48,0.97,1.82
C01DA02,516,5158,100,57.43,51.12,63.23,54.7,52.7,56.75,-2.73,-8.48,3.43,0.384,1.05,0.94,1.16
C01DA14,126,5575,90,62.03,48.83,79.11,54.16,52.15,56.11,-7.88,-24.22,5.63,0.232,1.15,0.9,1.45
C03AA03,50,6282,96.67,49.8,24.39,72.05,56.48,54.59,58.16,6.68,-15.55,31.7,0.646,0.88,0.44,1.28
C03AB01,91,6041,90,51.67,34.67,67.22,56.01,54.1,57.78,4.34,-10.83,21.51,0.572,0.92,0.62,1.2
C03CA01,914,4473,100,58.43,54.18,62.95,51.15,49.43,53.56,-7.28,-11.39,-2.34,0.010,1.14,1.04,1.23
C03CA02,387,4906,100,67.39,59.44,75.68,52.93,51.32,55.48,-14.46,-22.41,-5.82,0.002,1.27,1.11,1.42
C03DA01,105,6319,90,74.91,57.55,93.5,55.39,53.51,57.27,-19.52,-37.97,-2.28,0.032,1.35,1.04,1.68
C05AA04,234,6090,100,50.22,37.6,62.45,56.81,54.89,58.54,6.59,-6.16,19.49,0.274,0.88,0.66,1.11
C05BA01,94,6364,93.33,52.59,30.54,72.48,55.93,53.88,57.39,3.34,-16.12,25.36,0.664,0.94,0.55,1.29
C07AA05,171,5365,96.67,52,34.35,66.51,57.01,55.02,58.72,5.01,-9.64,22.94,0.444,0.91,0.6,1.17
C07AB02,579,3749,100,51.91,46.53,57.5,54.48,52.34,56.95,2.57,-3.06,8.88,0.372,0.95,0.84,1.06
C07AB07,74,5403,93.33,51.64,29.14,81.62,56,53.97,57.85,4.35,-25.76,27.31,0.676,0.92,0.51,1.46
C08CA01,267,5457,100,52.08,42.05,63.11,55.65,53.66,57.34,3.57,-7.97,13.82,0.562,0.94,0.75,1.14
C08CA05,85,5914,96.67,62.66,43.49,78.88,55.82,53.77,57.54,-6.84,-23.29,12.12,0.438,1.12,0.78,1.42
C08CA13,75,5770,96.67,43.93,22.55,70.01,55.67,53.58,57.34,11.74,-14.16,33,0.316,0.79,0.41,1.25
C09AA02,107,5915,100,59.3,45.44,71.73,55.08,53.25,57.07,-4.22,-17.06,9.62,0.546,1.08,0.82,1.31
C09AA05,177,5735,100,53.16,42.5,66.34,55.37,53.57,57.07,2.21,-11.86,13.13,0.696,0.96,0.77,1.21
C09CA01,171,5595,100,45.69,34.69,56.94,56.71,54.71,58.5,11.02,-0.76,21.07,0.070,0.81,0.63,1.01
C09CA03,93,5791,96.67,65.73,39.77,88.61,56.66,54.25,58.18,-9.07,-32.3,16.56,0.400,1.16,0.71,1.57
C09CA06,248,5529,100,52.92,41.62,63.28,56.34,54.53,58.09,3.42,-7.27,15.34,0.578,0.94,0.73,1.13
C09DA01,72,5813,90,46.82,14.67,78.69,55.99,54.08,57.65,9.17,-23.41,41.06,0.562,0.84,0.26,1.42
C09DA06,81,5984,93.33,61.55,33.18,82.39,56.67,54.57,58.22,-4.88,-26.13,23.09,0.724,1.09,0.58,1.46
C10AA01,375,3961,100,56.7,49.3,62.35,55.95,53.45,58.31,-0.75,-6.69,6.35,0.864,1.01,0.89,1.12
C10AA05,513,4478,100,52.67,44.41,59.97,58.25,55.82,59.77,5.58,-2.36,13.38,0.202,0.9,0.77,1.04
C10AX09,70,5298,40,2.12,0.18,49.83,57.75,55.77,59.46,55.62,7.92,58.3,0.034,0.04,0,0.86
D01AC01,138,4185,96.67,52.12,38.46,66.63,50.69,48.41,53.07,-1.43,-15.86,11.57,0.864,1.03,0.77,1.31
D01AC08,225,4051,100,49.23,38.58,58.89,50.18,47.74,52.19,0.95,-8.47,12.5,0.786,0.98,0.75,1.17
D01AC20,599,3812,100,51.99,46.21,56.99,49.81,47.43,52.14,-2.18,-7.47,3.81,0.462,1.04,0.93,1.16
D01AE15,204,4097,100,56.04,46.89,65.81,49.61,47.38,51.84,-6.44,-15.83,2.61,0.214,1.13,0.95,1.32
D01BA02,198,5235,100,42.87,32.01,53.77,51.47,49.22,53.12,8.6,-1.92,19.56,0.100,0.83,0.62,1.04
D02AE01,85,4870,46.67,12.81,0.37,100,49.57,38.63,51.44,36.76,-53.76,49.89,0.410,0.26,0.01,2.17
D05AX52,91,5307,100,46.94,26.51,65.1,50.95,48.66,52.75,4.01,-14.52,24.2,0.732,0.92,0.52,1.29
D06AX01,390,4891,100,50.72,45.11,56.51,50.51,48.35,52.58,-0.21,-6.72,5.9,0.872,1,0.88,1.14
D06BB03,69,5193,96.67,39.98,18.01,65.18,51.08,48.87,52.9,11.1,-14.16,33.9,0.440,0.78,0.35,1.28
D06BB10,116,5078,100,51.88,34.75,73.5,50.97,48.59,52.83,-0.91,-23.34,16.31,0.878,1.02,0.68,1.46
D06BX01,75,5092,100,42.74,22.62,64.73,51.13,48.92,52.89,8.39,-13.82,27.74,0.392,0.84,0.45,1.27
D07AA02,164,3412,100,52.37,41.27,63.63,50.93,48.65,53.21,-1.44,-12.58,8.9,0.722,1.03,0.83,1.25
D07AB02,465,3172,100,53.62,47.78,60.18,50.81,48.37,53.03,-2.81,-9.26,3.08,0.296,1.06,0.94,1.19
D07AB08,139,3427,100,40.05,30.31,49.82,51.2,49.01,53.46,11.15,1.2,21.37,0.034,0.78,0.59,0.98
D07AC01,345,3273,100,48.88,42.34,56.38,50.13,47.59,52.36,1.25,-6.73,8.1,0.712,0.98,0.84,1.14
D07AC03,57,3490,93.33,39.39,21.86,69.2,50.94,48.44,53.02,11.55,-18.29,29.07,0.474,0.77,0.43,1.36
D07AC13,499,3187,100,49.92,43.34,56.55,50.52,48.19,52.84,0.6,-5.62,7.59,0.800,0.99,0.85,1.11
D07AD01,290,3313,100,52.99,44.68,61.96,51.22,48.77,53.28,-1.78,-10.81,6.38,0.618,1.03,0.88,1.21
D07BB02,52,4711,90,55.63,22,85.4,50.58,48.46,52.2,-5.05,-34.61,28.56,0.806,1.1,0.44,1.68
D07BC01,186,5083,100,46.15,33.25,58.84,50.67,48.33,52.43,4.52,-8.4,16.9,0.494,0.91,0.66,1.17
D07CA01,193,5226,100,52.86,43.64,63.7,50.15,47.97,51.94,-2.71,-13.54,6.89,0.590,1.05,0.86,1.27
D07XC01,177,5204,100,55.83,43.89,67.93,50.66,48.54,52.43,-5.17,-17.76,5.87,0.354,1.1,0.88,1.35
D08AC01,51,5329,100,49.98,26.12,73.26,50.36,48.46,52.21,0.38,-22.49,24.14,0.942,0.99,0.52,1.44
G03CA03,299,3647,40,8.14,4.83,34.03,47.8,45.34,49.76,39.66,13.84,43.44,<0.001,0.17,0.1,0.71
G03CA04,108,3717,46.67,92.11,29.06,98.7,46.03,44.03,48.2,-46.08,-52.52,16.93,0.508,2,0.63,2.17
G04BD07,193,1534,100,57.49,48.87,66.82,46.79,43.08,50.42,-10.71,-20.96,-1.74,0.014,1.23,1.04,1.46
G04BD08,372,1496,100,53.67,46.73,60,46.85,42.62,50.5,-6.82,-14.41,1.09,0.082,1.15,0.98,1.33
G04BD11,296,1492,96.67,52.9,44.21,61.9,46.44,42.59,50.38,-6.46,-16.14,2.54,0.190,1.14,0.95,1.36
G04BD12,553,932,100,72.17,51.47,93.16,49.63,37.88,67.47,-22.53,-46.76,4.76,0.086,1.45,0.92,2.09
G04BE03,483,1444,33.33,95.95,36.96,99.73,43.57,39.33,47.71,-52.38,-57.98,7.87,0.428,2.2,0.83,2.4
G04BE08,434,1489,90,34.91,26.16,44.05,41.43,37,46.43,6.52,-3.54,16.8,0.166,0.84,0.62,1.09
G04BE09,122,1582,93.33,32.03,17.86,47.8,46.18,42.71,49.84,14.15,-2.2,29.31,0.080,0.69,0.39,1.05
G04CA02,506,2815,80,56.85,41.32,63.93,42.81,40.12,45.41,-14.03,-21.6,1.05,0.116,1.33,0.98,1.51
G04CA52,279,2352,96.67,64.5,44.24,76.99,42.09,38.71,45.66,-22.41,-35.88,-1.58,0.038,1.53,1.04,1.89
G04CB01,199,3066,96.67,46.3,33.83,57.75,42.13,39.56,44.66,-4.17,-15.74,8.26,0.588,1.1,0.8,1.38
H02AA02,76,195,90,92,72.75,99.95,45.95,35.32,55.34,-46.05,-58.95,-26.17,0.002,2,1.51,2.56
H02AB06,756,192,100,53.19,48.53,58.38,46.5,34.56,56.62,-6.69,-19.29,5.03,0.198,1.14,0.91,1.56
H03AA01,97,917,76.67,29.6,18.08,42.64,58.16,53.62,63.15,28.56,14.38,40.83,<0.001,0.51,0.31,0.75
J01AA02,721,9554,100,53.32,48.84,58.45,55.87,54.41,57.2,2.55,-1.9,7.3,0.252,0.95,0.87,1.03
J01CA04,841,5374,100,53.08,48.58,58.19,55.67,53.8,57.37,2.59,-2.66,7.11,0.374,0.95,0.87,1.05
J01CA08,1742,4012,100,60.35,57.06,64.04,52.33,50.18,54.73,-8.02,-11.68,-3.99,0.002,1.15,1.07,1.23
J01CE02,1883,4771,100,48.66,45.46,51.72,54.76,52.32,56.19,6.1,2.33,8.86,<0.001,0.89,0.84,0.96
J01CF01,727,5582,100,54.43,49.33,59.61,55.51,53.49,57.02,1.08,-4.29,6.15,0.720,0.98,0.89,1.08
J01DB01,151,10000,100,62.64,51.38,72.95,55.05,53.65,56.31,-7.58,-17.32,3.62,0.162,1.14,0.93,1.32
J01EA01,831,8486,100,64.54,60.32,68.74,51.8,50.96,53.92,-12.75,-16.23,-7.6,0.002,1.25,1.14,1.31
J01EE01,649,8964,100,62.38,56.19,68.71,53.14,51.92,54.72,-9.24,-15.49,-2.92,0.006,1.17,1.06,1.29
J01FA01,363,9831,100,52.94,45.54,60.08,57.03,55.41,58.08,4.09,-3.48,11,0.274,0.93,0.81,1.06
J01FA09,146,10000,96.67,49.31,37.8,61.53,56.9,55.38,58.02,7.58,-4.52,19.19,0.234,0.87,0.66,1.08
J01FA10,158,10000,100,34.74,21.59,49.54,56.74,55.11,57.73,22,6.92,34.66,0.022,0.61,0.38,0.88
J01FF01,306,9948,100,53.96,46.64,62.58,56.61,55.07,57.72,2.66,-6.24,9.81,0.552,0.95,0.83,1.11
J01MA02,703,9453,100,59.11,54.9,63.8,53.65,52.53,55.35,-5.46,-9.86,-0.88,0.016,1.1,1.02,1.18
J01XE01,460,9861,100,63.8,57.41,70.7,53.73,52.67,55.41,-10.08,-16.68,-3.18,0.002,1.19,1.06,1.3
J01XX05,259,10000,100,77.86,68.89,86.46,53.53,52.65,55.27,-24.33,-32.47,-14.27,0.002,1.45,1.27,1.61
J02AC01,108,10000,96.67,43.53,28.3,63.95,55.73,54.18,56.79,12.21,-8.13,27.13,0.246,0.78,0.51,1.14
J05AB11,88,10000,96.67,80.39,49.78,98.6,55.53,54.04,56.85,-24.86,-43,5.62,0.104,1.45,0.9,1.78
J05AH02,108,9646,36.67,43.39,4.68,88.31,54.91,53.51,56.21,11.52,-33.4,50.56,0.606,0.79,0.09,1.61
J07AL01,147,10000,100,67.72,54.04,79.41,55.17,53.94,56.62,-12.56,-24.22,1.16,0.074,1.23,0.98,1.44
J07BB02,457,10000,96.67,48.23,39.93,56.88,55.87,54.24,56.85,7.64,-0.94,15.72,0.094,0.86,0.72,1.02
L02BB03,90,124,86.67,68.88,52.7,88.46,77.37,61,88.67,8.49,-17.6,25.98,0.656,0.89,0.68,1.28
M01AB05,1435,870,100,41.31,37.46,45.09,47.53,39.71,53.26,6.23,-2.17,12.35,0.134,0.87,0.76,1.05
M01AB55,148,1091,96.67,39.07,28.31,52.45,53.17,48.35,57.91,14.1,-0.7,26.72,0.060,0.73,0.52,1.01
M01AC01,172,1089,100,37.34,24.64,51.35,51.92,46.97,56.27,14.58,0.08,28.02,0.050,0.72,0.47,1
