target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,956,10000,96.55,65.91,63.51,67.04,62.99,55.42,70.28,2.92,-5.1,9.58,0.556,0.96,0.85,1.08
A02BA02,360,10000,96.55,70.47,66.99,72.28,62.14,54.73,69.07,8.33,1,15.04,0.016,0.88,0.78,0.99
A02BC01,190,10000,100,70.39,67.18,72.16,65.24,54.47,74.51,5.16,-5.15,15.31,0.280,0.93,0.78,1.07
A02BC02,1673,8538,100,69.72,68.05,71.36,65.3,61.76,68.75,4.42,0.68,8.3,0.016,0.94,0.88,0.99
A02BC03,170,10000,100,70.99,67.45,72.51,66.58,53.39,76.93,4.4,-6.83,15.78,0.478,0.94,0.78,1.1
A02BC05,764,9130,100,70.84,69.14,72.18,64.79,59.83,69.57,6.05,1.02,11.24,0.008,0.91,0.84,0.99
A03AX13,106,10000,100,68.22,64.64,69.21,70.14,54.76,81.72,-1.92,-14.6,11.36,0.700,1.03,0.83,1.22
A03FA01,754,10000,100,68.01,66.34,69.26,67.8,62.96,72.15,0.21,-4.28,5.1,0.984,1,0.92,1.06
A04AA01,316,10000,96.55,67.73,64.61,68.65,76.8,68.16,86.23,-9.07,-19.17,-0.47,0.032,1.13,1.01,1.29
A04AD01,138,10000,100,66.68,64.04,68.83,84.4,73.06,91.95,-17.73,-25.5,-6.84,0.006,1.27,1.1,1.38
A06AB02,362,9519,100,64.41,62.35,65.95,81.6,74.41,87.59,-17.2,-22.87,-9.95,0.002,1.27,1.15,1.35
A06AB06,127,9707,100,64.59,62,66.18,68.84,55,79.55,-4.26,-15.56,9.68,0.444,1.07,0.85,1.24
A06AB08,852,9064,100,64.03,63.02,65.85,76.17,70.69,80.94,-12.14,-16.63,-5.83,0.002,1.19,1.09,1.26
A06AB58,128,7711,100,62.86,60.99,65.44,44.66,27.61,71.33,18.19,-8.59,35.46,0.170,0.71,0.44,1.14
A06AC01,138,9681,96.55,63.26,62,66.26,64.12,47.26,78.32,-0.86,-13.93,17.52,0.804,1.01,0.73,1.22
A06AD11,791,9104,100,63.78,62.66,65.49,75.27,70.18,80.26,-11.49,-16.41,-6.04,0.002,1.18,1.09,1.26
A06AD65,1160,8934,100,63.98,62.06,65.47,67.86,62.29,73.59,-3.89,-9.52,2.31,0.242,1.06,0.96,1.15
A06AG10,127,9696,100,64.76,61.99,66.5,71.29,54.74,84.31,-6.53,-19.54,9.35,0.390,1.1,0.85,1.3
A06AG11,169,9697,93.1,65.56,62.94,66.98,75.57,65.71,86.82,-10,-21.73,-0.93,0.020,1.15,1.01,1.33
A07AA02,526,10000,100,67.7,66.27,68.92,70.94,65.26,76.28,-3.25,-8.49,2.59,0.256,1.05,0.96,1.13
A07DA03,380,10000,100,67.56,65.94,68.83,69.99,62.61,76.07,-2.43,-9.07,4.99,0.464,1.04,0.93,1.13
A10AB05,132,10000,51.72,66,64.72,69.52,60.31,42.94,94.29,5.69,-26.67,24.14,0.852,0.91,0.64,1.4
A10AC01,113,10000,62.07,66.11,64.48,69.12,60.34,42.68,86.07,5.77,-19.79,23.22,0.908,0.91,0.65,1.3
A10BA02,269,10000,100,68.15,65.27,69.65,57.62,47.88,71.34,10.53,-2.58,20.17,0.180,0.85,0.71,1.04
A11CC05,811,10000,96.55,64.31,62.6,66.53,67.5,56.55,81.22,-3.19,-16.3,7.63,0.482,1.05,0.88,1.26
