target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,532,5930,96.55,59.98,49.39,71,59.88,56.25,61.63,-0.09,-11.91,10.51,0.876,1,0.82,1.21
A02BA02,208,4834,100,46.7,37.34,57.43,63.68,61.42,65.68,16.97,5.63,26.57,<0.001,0.73,0.58,0.91
A02BC01,107,4899,96.55,56.31,38.2,73.06,63.46,61.39,65.39,7.15,-9.93,25.1,0.416,0.89,0.6,1.16
A02BC02,933,4444,100,56.15,50.54,60.73,63.4,60.74,65.55,7.25,1.89,12.57,0.016,0.89,0.8,0.97
A02BC03,95,4877,93.1,50.32,29.9,68.18,63.43,61.18,65.48,13.11,-5.3,33.17,0.126,0.79,0.47,1.09
A02BC05,425,4639,100,52.75,46.09,60.29,63.67,61.11,65.68,10.92,2.9,18.05,<0.001,0.83,0.72,0.95
A03AX13,45,6708,93.1,61.2,32.01,87.77,59.89,58.03,61.67,-1.32,-27.87,27.83,0.988,1.02,0.54,1.47
A03FA01,312,6013,100,60.04,52.08,67.39,59.48,57.58,61.62,-0.56,-7.68,7.67,0.990,1.01,0.87,1.13
A04AA01,133,6316,100,76.35,58.08,93.82,58.57,56.67,60.52,-17.78,-35.66,0.09,0.052,1.3,1,1.61
A04AD01,76,6278,89.66,74.49,55.01,95.76,58.47,56.6,60.49,-16.02,-37.11,2.98,0.086,1.27,0.95,1.64
A06AB02,167,4756,93.1,82.06,70.38,91.41,55.72,53.82,58.1,-26.34,-35.18,-14.29,0.006,1.47,1.26,1.64
A06AB06,62,4831,89.66,53.59,33.09,76.06,55.63,53.38,57.63,2.04,-20.15,23.41,0.998,0.96,0.59,1.36
A06AB08,386,4619,100,68.96,60.74,78.5,55.89,54,58.3,-13.07,-22.52,-4.17,0.006,1.23,1.07,1.4
A06AB58,73,3867,96.55,43.76,11.57,92.2,53.86,50.25,56.75,10.1,-37.8,42.5,0.588,0.81,0.21,1.7
A06AC01,74,4742,96.55,65.33,42.45,88.88,55.24,53.06,57.31,-10.1,-33.98,13.4,0.378,1.18,0.76,1.62
