target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,878,10000,96.55,52.77,44.01,60.71,56.21,52.83,57.3,3.44,-5.92,11.98,0.456,0.94,0.78,1.11
A02BA02,335,8757,100,50.97,43.59,58.62,58.39,57.08,59.95,7.41,-0.54,15.28,0.062,0.87,0.74,1.01
A02BC01,171,8907,100,53.32,43.4,66.9,58.57,57.3,60.28,5.25,-8.12,15.37,0.412,0.91,0.74,1.14
A02BC02,1496,7484,100,54.07,50.62,57.61,58.38,56.45,59.73,4.3,0.47,7.94,0.022,0.93,0.87,0.99
A02BC03,156,8865,79.31,56.07,39.38,77.56,58.73,57.22,60.23,2.66,-18.69,19,0.858,0.95,0.67,1.32
A02BC05,699,7929,100,53.16,47.44,58.59,59.23,57.49,60.58,6.07,0.43,11.53,0.036,0.9,0.81,0.99
A03AX13,100,10000,100,61.53,45.25,77.31,56.06,54.72,57.48,-5.48,-21.07,10.74,0.468,1.1,0.81,1.37
A03FA01,633,10000,100,53.18,47.78,58.75,56.48,55.02,57.94,3.3,-2.31,9.01,0.236,0.94,0.84,1.04
A04AA01,240,10000,100,61.15,49.4,74.39,55.34,53.64,56.79,-5.81,-19.5,6.12,0.372,1.1,0.89,1.35
A04AD01,115,10000,100,77.95,63.6,88.19,56.12,54.61,57.47,-21.83,-32.62,-7.63,0.002,1.39,1.14,1.58
A06AB02,290,8484,100,71.08,61.81,79.98,53.47,52.17,54.98,-17.61,-26.13,-7.67,0.002,1.33,1.14,1.48
A06AB06,111,8602,100,56.5,40.33,73.71,53.45,52,54.9,-3.05,-20.4,13.75,0.634,1.06,0.74,1.38
A06AB08,702,8134,100,63.73,56.69,70.49,53.23,51.93,54.96,-10.5,-17.07,-3.63,0.010,1.2,1.07,1.32
A06AB58,124,6852,100,30.68,17.04,44.31,48.17,43.72,50.06,17.49,3.23,30.51,0.020,0.64,0.36,0.93
A06AC01,129,8565,96.55,59.63,37.32,82.02,53.46,51.88,54.86,-6.16,-29.21,15.7,0.618,1.12,0.7,1.55
A06AD11,673,8178,100,65.06,58.55,71.49,53.04,51.73,54.65,-12.01,-18.27,-5.37,0.002,1.23,1.1,1.34
A06AD65,1023,7848,100,55.97,49.99,62.74,52.66,51.02,54.21,-3.31,-10.2,2.73,0.262,1.06,0.95,1.2
A06AG11,127,8604,93.1,63.41,50.96,78.14,53.51,52.03,55.06,-9.9,-24.48,2.91,0.164,1.19,0.95,1.45
A07AA02,428,10000,100,59.62,53.02,65.4,55.91,54.58,57.32,-3.71,-9.65,2.95,0.300,1.07,0.95,1.17
A07DA03,338,10000,100,56.37,49.03,64.08,56.07,54.3,57.1,-0.3,-8.36,6.89,0.774,1.01,0.88,1.15
A10AB05,110,10000,51.72,40.79,10.78,90.61,56.28,54.78,57.48,15.49,-34.57,45.44,0.538,0.72,0.19,1.62
A10AC01,100,10000,58.62,41.65,17.32,82.83,56.49,54.67,57.5,14.84,-26.51,38.7,0.542,0.74,0.31,1.47
A10BA02,246,10000,96.55,47.05,33.41,59.72,56.3,54.94,57.63,9.26,-3.37,22.93,0.162,0.84,0.59,1.06
A11CC05,762,8404,96.55,47.94,40.11,54.94,50.19,46.13,51.9,2.25,-5.34,9.51,0.676,0.96,0.82,1.11
A12BA01,259,10000,100,63.58,53.51,72.54,56.01,54.11,56.99,-7.57,-17.21,1.68,0.124,1.14,0.97,1.31
A12CC30,132,10000,100,62.22,47.73,74.98,56.68,54.43,57.31,-5.53,-19.2,8.62,0.394,1.1,0.85,1.35
B01AA03,338,2719,89.66,58.92,51.9,66.1,60.4,57.7,63.18,1.48,-5.8,8.45,0.688,0.98,0.86,1.1
B01AB04,558,2860,100,53.95,47.68,60.62,60.09,57.11,62.62,6.15,-1.12,12.63,0.072,0.9,0.79,1.02
B01AB05,408,2894,100,56.89,50.41,64.15,60.68,58.29,63.52,3.79,-3.73,10.75,0.302,0.94,0.83,1.06
B01AC04,460,2874,100,58.26,50.16,65.64,61.47,58.77,64.14,3.21,-4.5,11.85,0.408,0.95,0.81,1.07
