target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,956,10000,96.55,64.16,56.76,71.65,67.92,65.41,68.87,3.76,-4.6,10.57,0.434,0.94,0.84,1.07
A02BA02,360,10000,96.55,62.14,54.56,69.02,70.47,68.92,71.76,8.33,1.31,15.63,0.020,0.88,0.78,0.98
A02BC01,190,10000,100,65.24,54.61,75.74,70.39,69.09,71.96,5.16,-5.3,15.55,0.322,0.93,0.78,1.07
A02BC02,1673,8538,100,65.3,61.76,68.75,69.72,68.05,71.36,4.42,0.68,8.3,0.016,0.94,0.88,0.99
A02BC03,170,10000,100,66.58,52.65,78.41,70.99,69.35,72.1,4.4,-7.97,18.01,0.472,0.94,0.75,1.11
A02BC05,764,9130,100,64.79,59.83,69.57,70.84,69.14,72.18,6.05,1.02,11.24,0.008,0.91,0.84,0.99
A03AX13,106,10000,100,70.14,55.44,83.93,68.22,66.26,69.1,-1.92,-16.78,12.41,0.712,1.03,0.82,1.25
A03FA01,754,10000,100,67.8,62.96,72.15,68.01,66.34,69.26,0.21,-4.28,5.1,0.984,1,0.92,1.06
A04AA01,316,10000,96.55,77.48,67.15,86.77,67.15,65.39,68.13,-10.33,-20.39,-0.09,0.050,1.15,1,1.31
A04AD01,138,10000,100,84.4,74.42,92.77,66.68,66.2,68.8,-17.73,-25.87,-6.82,0.006,1.27,1.1,1.38
A06AB02,362,9519,100,81.6,74.64,87.59,64.41,63.15,65.92,-17.2,-22.87,-10.22,0.002,1.27,1.16,1.35
A06AB06,127,9707,100,68.84,54.82,81.33,64.59,63.32,65.9,-4.26,-17.06,9.49,0.426,1.07,0.85,1.27
A06AB08,852,9064,100,76.17,70.69,80.94,64.03,63.02,65.85,-12.14,-16.63,-5.83,0.002,1.19,1.09,1.26
A06AB58,128,7711,100,44.66,27.36,71.7,62.86,60.61,64.57,18.19,-8.9,36.48,0.176,0.71,0.43,1.14
A06AC01,138,9681,96.55,66.3,47.03,84.21,64.7,63.27,65.92,-1.6,-19.62,17.79,0.980,1.02,0.73,1.31
A06AD11,791,9104,100,75.27,70.18,80.26,63.78,62.66,65.49,-11.49,-16.41,-6.04,0.002,1.18,1.09,1.26
A06AD65,1160,8934,100,67.86,62.35,73.65,63.98,62.63,65.49,-3.89,-9.4,2.31,0.242,1.06,0.96,1.15
A06AG10,127,9696,100,71.29,56.23,84.92,64.76,63.22,65.93,-6.53,-20.26,8.7,0.392,1.1,0.87,1.31
