target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,956,10000,96.67,65.85,63.45,67.02,64.12,56.48,71.94,1.73,-6.5,8.67,0.716,0.97,0.87,1.1
A02BA02,360,10000,96.67,68.25,66.92,72.18,60.58,55.58,69.12,7.67,0.54,14.25,0.034,0.89,0.8,0.99
A02BC01,190,10000,96.67,70.22,67.09,71.96,64.87,52.05,74.99,5.35,-5.66,16.72,0.308,0.92,0.76,1.08
A02BC02,1673,8538,100,69.71,68.05,71.34,65.37,61.74,68.81,4.34,0.59,8.26,0.018,0.94,0.88,0.99
A02BC03,170,10000,100,70.97,67.49,72.44,67.1,54.54,77.95,3.87,-7.67,14.91,0.616,0.95,0.78,1.11
A02BC05,764,9130,100,70.81,69.1,72.15,65.22,60.26,69.99,5.59,0.6,10.93,0.018,0.92,0.85,0.99
A03AX13,106,10000,96.67,68.16,64.44,69.3,69.12,55.08,81.41,-0.96,-14.37,11.6,0.698,1.01,0.83,1.21
A03FA01,754,10000,100,68.04,66.37,69.28,67.57,62.65,71.81,0.47,-4.08,5.23,0.910,0.99,0.92,1.06
A04AA01,316,10000,100,67.17,64.37,68.57,77.4,68.27,86.46,-10.22,-19.84,-0.72,0.036,1.15,1.01,1.3
A04AD01,138,10000,96.67,66.49,64.05,68.74,83.65,71.24,92.26,-17.16,-25.99,-3.88,0.010,1.26,1.06,1.39
A06AB02,362,9519,100,64.44,62.64,66.02,81.32,74.07,87.11,-16.88,-22.78,-9.48,0.002,1.26,1.15,1.35
A06AB06,127,9707,96.67,64.42,62.01,66.15,67.73,54.38,79.59,-3.31,-15.63,9.86,0.488,1.05,0.84,1.24
A06AB08,852,9064,100,64.08,63.07,65.92,75.43,69.83,80.61,-11.35,-16.09,-4.95,0.002,1.18,1.08,1.25
A06AB58,128,7711,96.67,62.66,60.78,65.31,46.57,29.76,72.43,16.09,-8.99,33.79,0.184,0.74,0.46,1.15
A06AC01,138,9681,96.67,63.26,61.97,66.28,64.06,47.9,80.14,-0.8,-15.38,16.42,0.898,1.01,0.74,1.24
A06AD11,791,9104,100,63.77,62.65,65.49,75.36,70.32,80.29,-11.58,-16.57,-6.14,0.002,1.18,1.09,1.26
A06AD65,1160,8934,100,64.02,62.05,65.51,67,61.43,72.56,-2.98,-8.51,3.16,0.356,1.05,0.95,1.13
A06AG10,127,9696,96.67,64.59,61.93,66.48,68.95,54.06,81.9,-4.36,-17.64,10.75,0.480,1.07,0.83,1.28
A06AG11,169,9697,93.33,65.57,63.22,66.92,76,65.76,85.56,-10.43,-20.29,-1.03,0.030,1.16,1.02,1.31
A07AA02,526,10000,100,67.71,66.29,68.93,70.77,65.09,76.04,-3.06,-8.27,2.79,0.288,1.05,0.96,1.12
A07DA03,380,10000,100,67.57,65.94,68.81,69.26,62.66,75.6,-1.7,-8.21,5.26,0.550,1.03,0.92,1.12
A10AB05,132,10000,53.33,66.26,64.91,69.34,56.04,40.09,90.8,10.22,-23.68,27.17,0.926,0.85,0.59,1.36
A10AC01,113,10000,60,65.85,64.51,69.1,57.94,39.49,83.23,7.91,-16.28,27.84,0.712,0.88,0.59,1.24
A10BA02,269,10000,96.67,68.54,65.27,69.62,62.22,49.18,71.72,6.32,-3.42,18.22,0.214,0.91,0.73,1.05
A11CC05,811,10000,96.67,64.26,62.53,66.45,67.28,56.68,80.87,-3.02,-15.68,7.5,0.550,1.05,0.88,1.24
A11GA01,120,10000,100,67.55,65.38,69.2,90.19,72.86,97.97,-22.64,-30.97,-5.51,0.014,1.34,1.08,1.46
A12BA01,323,10000,100,66.7,64.42,68.56,74.91,66.38,83.31,-8.21,-16.44,0.68,0.084,1.12,0.99,1.25
