target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A01AA01,956,10000,90,68.2,61.78,74.48,67.9,65.34,68.85,-0.3,-7.53,5.83,0.902,1,0.91,1.11
A02BA02,360,10000,83.33,54.56,48.07,61.03,70.77,69.22,72.04,16.21,9.53,22.6,<0.001,0.77,0.68,0.87
A02BC01,190,10000,93.33,61.87,53.9,69.89,70.45,69.16,72.02,8.58,0.31,16.91,0.040,0.88,0.76,1
A02BC02,1673,8538,100,61.78,58.13,65.56,70.07,68.31,71.64,8.29,4.03,12.48,<0.001,0.88,0.82,0.94
A02BC03,170,10000,83.33,55.62,46.67,64.4,71.14,69.49,72.29,15.52,6.51,24.32,<0.001,0.78,0.65,0.91
A02BC05,764,9130,90,58.54,53.15,63.12,71.3,69.63,72.62,12.76,7.73,17.94,<0.001,0.82,0.75,0.89
A03AX13,106,10000,80,69.63,57.2,82,68.18,66.21,69.08,-1.45,-14.56,10.37,0.676,1.02,0.85,1.22
A03FA01,754,10000,80,67.05,62.76,70.98,68.05,66.35,69.31,1,-3.21,5.19,0.732,0.99,0.92,1.05
A04AA01,316,10000,76.67,72.01,62.29,82.87,67.3,65.56,68.27,-4.7,-15.97,4.77,0.360,1.07,0.93,1.24
A04AD01,138,10000,80,80.21,70.28,88.97,66.73,66.22,68.85,-13.49,-21.87,-2.83,0.012,1.2,1.04,1.33
A06AB02,362,9519,86.67,87.85,83.13,92.14,64.08,62.83,65.64,-23.77,-27.82,-18.84,0.002,1.37,1.29,1.44
A06AB06,127,9707,90,73.85,63.74,83.24,64.53,63.24,65.86,-9.33,-18.87,0.62,0.070,1.14,0.99,1.3
A06AB08,852,9064,90,79.27,74.72,83.18,63.47,62.36,65.34,-15.8,-19.59,-10.7,0.002,1.25,1.17,1.31
A06AB58,128,7711,90,38.25,24.74,52.58,62.94,60.68,64.67,24.69,10.61,38.08,<0.001,0.61,0.39,0.83
A06AC01,138,9681,93.33,56.65,43.95,70.74,64.71,63.29,65.93,8.06,-5.88,21.12,0.234,0.88,0.67,1.09
A06AD11,791,9104,93.33,78.51,73.87,82.96,63.15,62.03,64.88,-15.36,-19.67,-10.35,0.002,1.24,1.16,1.31
A06AD65,1160,8934,90,69.13,63.97,74.76,63.75,62.41,65.23,-5.39,-11.01,0.36,0.070,1.08,0.99,1.17
A06AG10,127,9696,80,79.77,69.62,89,64.68,63.13,65.86,-15.09,-24.2,-4.98,0.006,1.23,1.08,1.37
A06AG11,169,9697,83.33,84.68,76.4,92.54,64.49,63.29,66,-20.19,-27.97,-11.71,0.002,1.31,1.18,1.43
A07AA02,526,10000,86.67,71.12,66.22,76.64,67.65,66.2,68.89,-3.47,-9.14,1.63,0.210,1.05,0.98,1.14
A07DA03,380,10000,90,72.92,66.26,78.75,67.43,65.81,68.67,-5.49,-11.77,1.48,0.098,1.08,0.98,1.18
A10AB05,132,10000,76.67,80.09,69.29,90.92,68.28,66.44,69.1,-11.81,-22.95,-1.92,0.024,1.17,1.03,1.34
A10AC01,113,10000,73.33,68.31,54.65,80.55,67.27,66.41,68.97,-1.04,-12.89,12.96,0.922,1.02,0.81,1.19
A10BA02,269,10000,70,55.96,47.11,64.6,68.22,66.67,69.38,12.26,3.26,21.09,0.008,0.82,0.69,0.95
A11CC05,811,10000,90,64.62,54.58,77.78,65.42,63.48,66.96,0.8,-12.19,10.69,0.968,0.99,0.84,1.19
A11GA01,120,10000,86.67,93.31,86.57,99.21,67.32,66.13,68.62,-25.98,-31.86,-18.93,0.002,1.39,1.28,1.47
A12BA01,323,10000,73.33,80.07,74.15,86.18,66.38,65.48,68.09,-13.69,-19.29,-7.15,0.002,1.21,1.11,1.29
A12BA02,109,10000,76.67,81.92,71.81,91.77,67.34,65.99,68.66,-14.58,-24.4,-4.72,0.006,1.22,1.07,1.36
A12CC30,157,10000,86.67,73.27,63.75,82.52,67.63,66.29,68.86,-5.64,-14.25,3.33,0.212,1.08,0.95,1.21
B01AA03,367,3020,93.33,69.41,64.26,75.32,69.76,67.18,72.15,0.35,-6.03,5.93,0.884,1,0.92,1.09
B01AB04,634,3185,86.67,58.01,52.48,64.05,71.29,68.65,73.47,13.28,7.05,19.48,<0.001,0.81,0.73,0.9
B01AB05,466,3216,83.33,64.82,58.12,70.77,71.08,68.46,73.41,6.26,-0.49,13.09,0.066,0.91,0.82,1.01
