target_durg,n_target_inits,n_control_inits,percent_balanced,surv_diff_8y,surv_diff_CI_low,surv_diff_CI_up,surv_diff_pval,surv_diff_pval_adj,hazard_ratio,HR_CI_low,HR_CI_up
A01AA01,956,10000,96.55,36.34,-46.19,103.61,0.452,>0.999,0.79,0.69,0.91
A02BA02,360,10000,96.55,82.53,12.65,155.56,0.020,0.523,0.75,0.62,0.9
A02BC01,190,10000,100,54.96,-50.11,158.1,0.306,>0.999,0.79,0.6,1.04
A02BC02,1673,8538,100,44.76,7.78,83.16,0.014,0.398,0.86,0.79,0.93
A02BC03,170,10000,100,43.36,-82.32,180.67,0.468,>0.999,0.82,0.59,1.13
A02BC05,764,9130,100,61.85,11.4,113.03,0.008,0.261,0.76,0.67,0.86
A03AX13,106,10000,100,-20,-168.61,124.46,0.716,>0.999,0.93,0.66,1.33
A03FA01,754,10000,100,2.38,-41.99,50.18,0.974,>0.999,1.17,1.03,1.34
A04AA01,316,10000,96.55,-102.29,-203.02,-0.21,0.050,>0.999,1.72,1.39,2.13
A04AD01,138,10000,100,-179.31,-260.39,-69.54,0.006,0.231,1.51,1.22,1.86
A06AB02,362,9519,100,-174.07,-230.62,-104.07,0.002,0.090,1.88,1.58,2.24
A06AB06,127,9707,100,-41.78,-168.88,95.46,0.422,>0.999,1.12,0.83,1.51
A06AB08,852,9064,100,-120.48,-165.21,-58.67,0.002,0.090,1.42,1.27,1.6
A06AB58,128,7711,100,179.68,-91.17,362.11,0.178,>0.999,0.59,0.39,0.9
A06AC01,138,9681,96.55,-10.56,-186.66,177.1,0.980,>0.999,0.85,0.63,1.13
A06AD11,791,9104,100,-115.13,-164.24,-61.11,0.002,0.090,1.35,1.21,1.51
A06AD65,1160,8934,100,-39.95,-94.88,21.8,0.224,>0.999,1.16,1.03,1.31
A06AG10,127,9696,100,-68.24,-204.9,84.24,0.378,>0.999,1.54,1.13,2.11
A06AG11,169,9697,93.1,-127.62,-241.91,-23.72,0.016,0.436,1.75,1.34,2.29
A07AA02,526,10000,100,-32.43,-84.02,25.03,0.254,>0.999,1.24,1.08,1.43
A07DA03,380,10000,100,-23.3,-88.63,50.23,0.476,>0.999,1.03,0.87,1.21
A10AB05,132,10000,51.72,-42.78,-300.79,249.41,0.614,>0.999,1.94,0.89,4.24
A10AC01,113,10000,62.07,-31.86,-269.38,205.99,0.728,>0.999,1.91,0.89,4.12
A10BA02,269,10000,100,107.41,-14.27,239.42,0.086,>0.999,0.65,0.49,0.85
A11CC05,811,10000,96.55,-30.42,-168.79,78.47,0.492,>0.999,0.87,0.76,1
A11GA01,120,10000,100,-231.95,-320.27,-118.59,0.002,0.090,2.12,1.66,2.7
A12BA01,323,10000,100,-87.28,-170.39,-4,0.036,0.840,1.35,1.12,1.63
A12BA02,109,10000,100,-109.34,-275.63,87.8,0.254,>0.999,1.73,1.13,2.65
A12CC30,157,10000,100,-27.54,-126.31,89.05,0.556,>0.999,1.12,0.88,1.43
B01AA03,367,3020,93.1,32.54,-38.8,97.33,0.360,>0.999,0.87,0.73,1.04
B01AB04,634,3185,100,49.07,-10.57,112.59,0.108,>0.999,0.97,0.83,1.12
B01AB05,466,3216,100,16.1,-46.14,79.88,0.530,>0.999,1.04,0.9,1.21
B01AC04,496,3190,100,47.03,-27.65,120.65,0.226,>0.999,0.8,0.68,0.95
B01AC06,1145,1924,100,11.61,-37.02,61.99,0.660,>0.999,0.95,0.85,1.06
B01AC07,179,3240,100,-10.81,-111.18,121.3,0.982,>0.999,0.92,0.71,1.2
B01AC30,166,3258,100,-32.89,-145.25,73.39,0.472,>0.999,1.03,0.8,1.32
B01AE07,105,2570,89.66,-187.11,-335.21,35.63,0.110,>0.999,1.02,0.76,1.38
B01AF01,247,2741,96.55,53.39,-109.33,168.04,0.542,>0.999,0.86,0.67,1.1
B01AF02,500,2271,96.55,130.47,-72.39,269.98,0.146,>0.999,0.9,0.7,1.16
B03AA01,152,6802,96.55,-165.09,-265.62,28.54,0.074,>0.999,1.17,0.89,1.53
B03AA07,601,6659,100,-51.07,-112.01,15.02,0.136,>0.999,1.28,1.1,1.49
B03BA01,478,5221,96.55,-24.85,-106.14,63.01,0.590,>0.999,0.92,0.77,1.12
B03BA02,392,2645,100,38.55,-9.68,88.77,0.144,>0.999,0.87,0.76,1.01
B03BA03,958,4846,100,-4.27,-59,47,0.874,>0.999,0.93,0.83,1.04
B03BB01,590,5050,100,-25.66,-78.51,28.09,0.422,>0.999,1.03,0.91,1.17
C01AA05,126,10000,93.1,-44.35,-215.82,116.27,0.594,>0.999,1.23,0.81,1.87
C01DA02,949,8928,100,-2.47,-48.76,43.46,0.944,>0.999,0.95,0.85,1.07
C01DA14,266,9795,96.55,-34.11,-140.76,52.51,0.346,>0.999,1.03,0.81,1.31
C03AA03,100,10000,100,31.99,-98.76,167.09,0.662,>0.999,0.95,0.68,1.32
C03AB01,147,10000,93.1,60.35,-40.8,160.77,0.218,>0.999,0.88,0.67,1.17
C03CA01,1678,7141,100,-60.95,-95.8,-23.36,0.002,0.090,1.26,1.16,1.38
C03CA02,844,8287,100,-113.26,-160.81,-55.43,0.002,0.090,1.45,1.28,1.63
C03DA01,280,10000,100,-212.91,-301.85,-108.96,0.002,0.090,1.74,1.41,2.15
C05AA04,442,10000,100,17.3,-44.15,87.98,0.596,>0.999,0.92,0.78,1.08
C05BA01,175,10000,93.1,-58.17,-169.71,62.91,0.356,>0.999,0.96,0.75,1.24
C07AA05,267,9786,100,81.15,-13.36,199.56,0.114,>0.999,0.64,0.5,0.82
C07AB02,968,6419,100,-4.2,-43.69,40.67,0.874,>0.999,1.02,0.92,1.13
C07AB07,162,9877,96.55,-42.49,-184.82,85.49,0.462,>0.999,1.07,0.81,1.4
C08CA01,468,9582,100,-2.19,-68.41,64.14,0.964,>0.999,0.98,0.82,1.16
C08CA05,183,10000,100,-49.28,-161.87,61.57,0.370,>0.999,1.15,0.9,1.47
C08CA13,144,10000,100,45.92,-96.38,179.73,0.560,>0.999,0.79,0.56,1.1
C09AA02,188,10000,100,-47.67,-134.33,53.91,0.296,>0.999,1.18,0.94,1.49
C09AA05,381,10000,100,31.71,-56.25,111.01,0.460,>0.999,1.02,0.84,1.23
C09CA01,281,10000,100,118.21,25.21,199.73,0.010,0.297,0.73,0.58,0.91
C09CA03,165,10000,100,-0.46,-142.19,140.4,0.998,>0.999,0.86,0.61,1.21
C09CA06,410,9913,100,-4.85,-74.84,70.16,0.866,>0.999,1,0.83,1.2
C09DA01,116,10000,89.66,53.07,-136.13,269.88,0.656,>0.999,0.8,0.53,1.21
C09DA06,138,10000,96.55,-8.82,-168.8,159.81,0.908,>0.999,1.08,0.72,1.64
C10AA01,569,7219,100,14.96,-39.71,65.24,0.548,>0.999,0.83,0.71,0.97
