target_durg,n_target_inits,n_control_inits,percent_balanced,surv_diff_8y,surv_diff_CI_low,surv_diff_CI_up,surv_diff_pval,surv_diff_pval_adj,hazard_ratio,HR_CI_low,HR_CI_up
A01AA01,956,10000,96.55,32.8,-42.15,117.92,0.390,>0.999,0.79,0.69,0.9
A02BA02,360,10000,100,82.2,13.91,155.43,0.016,0.455,0.75,0.63,0.9
A02BC01,190,10000,100,57.42,-39.75,165.8,0.278,>0.999,0.79,0.6,1.03
A02BC02,1673,8863,100,46.15,11.83,85.44,<0.001,<0.001,0.86,0.79,0.93
A02BC03,170,10000,100,43.31,-103.58,174.94,0.510,>0.999,0.82,0.59,1.13
A02BC05,764,9297,100,62.18,14.17,111.02,0.018,0.490,0.76,0.67,0.86
A03AX13,106,10000,100,-26.84,-165.77,133.27,0.668,>0.999,0.94,0.66,1.33
A03FA01,754,10000,100,-1.19,-43.28,52.4,0.892,>0.999,1.18,1.03,1.35
A04AA01,316,10000,93.1,-102.28,-194.08,2.29,0.052,>0.999,1.7,1.38,2.1
A04AD01,138,10000,100,-185.15,-266.91,-62.33,0.002,0.082,1.48,1.2,1.82
A06AB02,362,9569,100,-172.88,-232.95,-98.46,0.002,0.082,1.87,1.57,2.23
A06AB06,127,9737,100,-41.24,-158.77,87.77,0.474,>0.999,1.12,0.83,1.5
A06AB08,852,9264,100,-116.49,-160.69,-62.55,0.002,0.082,1.4,1.25,1.57
A06AB58,128,7745,100,179.91,-119.23,371.58,0.190,>0.999,0.59,0.39,0.89
A06AC01,138,9715,96.55,-10.07,-187.04,163.19,0.936,>0.999,0.85,0.63,1.13
A06AD11,791,9300,100,-110.7,-160.41,-60.31,0.002,0.082,1.33,1.19,1.49
A06AD65,1160,9109,100,-38.74,-92.98,17.79,0.194,>0.999,1.16,1.03,1.3
A06AG10,127,9716,100,-68.82,-203.05,61.78,0.352,>0.999,1.54,1.13,2.11
A06AG11,169,9719,93.1,-126.98,-225.1,-11.28,0.034,0.766,1.75,1.34,2.28
A07AA02,526,10000,100,-31.8,-88.54,24.18,0.224,>0.999,1.24,1.08,1.42
A07DA03,380,10000,100,-28.35,-88.74,44.11,0.438,>0.999,1.03,0.88,1.21
A10AB05,132,10000,55.17,-55.78,-304.11,204.8,0.586,>0.999,1.96,0.91,4.22
A10AC01,113,10000,65.52,-34.8,-265.37,217.42,0.644,>0.999,1.96,0.95,4.07
A10BA02,269,10000,100,105.38,-8.08,220.96,0.078,>0.999,0.65,0.49,0.86
A11CC05,811,10000,96.55,-30.13,-160.2,78.58,0.546,>0.999,0.87,0.76,1.01
A11GA01,120,10000,100,-230.16,-314.7,-139.19,0.006,0.206,2.13,1.67,2.7
A12BA01,323,10000,100,-84.88,-168.48,1.8,0.054,>0.999,1.33,1.11,1.6
A12BA02,109,10000,96.55,-96.67,-268.26,83,0.228,>0.999,1.76,1.15,2.69
A12CC30,157,10000,100,-28.56,-136.48,76.96,0.540,>0.999,1.13,0.88,1.44
B01AA03,367,3033,93.1,33.57,-34.81,105.93,0.348,>0.999,0.87,0.73,1.03
B01AB04,634,3239,100,49.89,-9.21,105.08,0.106,>0.999,0.96,0.83,1.12
B01AB05,466,3271,100,17.54,-43.35,79.62,0.576,>0.999,1.04,0.9,1.21
B01AC04,496,3210,100,45.61,-23.24,123.3,0.208,>0.999,0.81,0.68,0.95
B01AC06,1145,1961,100,14.02,-32,56.23,0.522,>0.999,0.94,0.84,1.06
B01AC07,179,3251,100,-10.48,-124.94,120.98,0.860,>0.999,0.92,0.71,1.19
B01AC30,166,3265,100,-32.37,-130.43,64.53,0.464,>0.999,1.03,0.8,1.32
